timestamp,model,prod,spot,memory_util
758.0,D,2,18,0.00046013954731855753
768.0,A,15,5,0.38995770370820415
768.0,B,7,13,0.38995770370820415
768.0,C,12,8,0.38995770370820415
768.0,D,2,18,0.38995770370820415
777.0,A,15,5,0.38995770370820415
777.0,B,7,13,0.38995770370820415
777.0,C,12,8,0.38995770370820415
777.0,D,2,18,0.38995770370820415
783.0,A,16,4,0.5738700808829048
783.0,B,7,13,0.5738700808829048
783.0,C,12,8,0.5738700808829048
783.0,D,2,18,0.5738700808829048
792.0,A,16,4,0.38995770370820415
792.0,B,7,13,0.38995770370820415
792.0,C,12,8,0.38995770370820415
792.0,D,2,18,0.38995770370820415
795.0,A,16,4,0.0
795.0,B,7,13,0.0
795.0,C,11,9,0.0
795.0,D,2,18,0.0
796.0,A,16,4,0.00032244778825771513
796.0,B,7,13,0.00032244778825771513
796.0,C,10,10,0.00032244778825771513
796.0,D,2,18,0.00032244778825771513
802.0,A,16,4,0.0
802.0,B,7,13,0.0
802.0,C,10,10,0.0
802.0,D,2,18,0.0
803.0,A,16,4,0.38995770370820415
803.0,B,7,13,0.38995770370820415
803.0,C,10,10,0.38995770370820415
803.0,D,2,18,0.38995770370820415
804.0,A,16,4,0.000547691696680365
804.0,B,7,13,0.000547691696680365
804.0,C,10,10,0.000547691696680365
804.0,D,2,18,0.000547691696680365
809.0,A,16,4,0.0
809.0,B,7,13,0.0
809.0,C,9,11,0.0
809.0,D,2,18,0.0
810.0,A,16,4,0.000547691696680365
810.0,B,7,13,0.000547691696680365
810.0,C,9,11,0.000547691696680365
810.0,D,2,18,0.000547691696680365
811.0,A,16,4,0.00024869501554077597
811.0,B,7,13,0.00024869501554077597
811.0,C,8,12,0.00024869501554077597
811.0,D,2,18,0.00024869501554077597
812.0,A,16,4,0.38995770370820415
812.0,B,7,13,0.38995770370820415
812.0,C,8,12,0.38995770370820415
812.0,D,2,18,0.38995770370820415
823.0,A,16,4,0.0
823.0,B,7,13,0.0
823.0,C,8,12,0.0
823.0,D,2,18,0.0
827.0,A,16,4,0.0
827.0,B,7,13,0.0
827.0,C,7,13,0.0
827.0,D,2,18,0.0
829.0,A,16,4,0.38995770370820415
829.0,B,7,13,0.38995770370820415
829.0,C,7,13,0.38995770370820415
829.0,D,2,18,0.38995770370820415
838.0,A,16,4,0.0
838.0,B,7,13,0.0
838.0,C,7,13,0.0
838.0,D,2,18,0.0
853.7049519310558,A,17,3,0.5878265209064947
853.7049519310558,B,7,13,0.5878265209064947
853.7049519310558,C,7,13,0.5878265209064947
853.7049519310558,D,2,18,0.5878265209064947
859.0,A,17,3,0.38995770370820415
859.0,B,7,13,0.38995770370820415
859.0,C,7,13,0.38995770370820415
859.0,D,2,18,0.38995770370820415
860.0,A,17,3,0.38995770370820415
860.0,B,7,13,0.38995770370820415
860.0,C,7,13,0.38995770370820415
860.0,D,2,18,0.38995770370820415
862.0,A,17,3,0.0
862.0,B,7,13,0.0
862.0,C,6,14,0.0
862.0,D,2,18,0.0
869.0,A,17,3,0.0
869.0,B,7,13,0.0
869.0,C,6,14,0.0
869.0,D,2,18,0.0
875.0,A,17,3,0.00037651350330929754
875.0,B,7,13,0.00037651350330929754
875.0,C,6,14,0.00037651350330929754
875.0,D,2,18,0.00037651350330929754
882.0,A,17,3,0.0
882.0,B,7,13,0.0
882.0,C,5,15,0.0
882.0,D,2,18,0.0
893.0,A,17,3,0.0
893.0,B,7,13,0.0
893.0,C,5,15,0.0
893.0,D,2,18,0.0
897.0,A,17,3,0.0
897.0,B,7,13,0.0
897.0,C,5,15,0.0
897.0,D,2,18,0.0
899.0,A,17,3,0.0
899.0,B,7,13,0.0
