request_id,completion_time,response_time,ttft,workload_type,utility,model_type
477,234.1308851553738,3.543254738286322,1.0173710805607925,dev,1,D
294,234.14419081480207,11.10361559272286,1.0129984208366807,dev,1,D
477,234.2731514783256,4.0986282491184625,1.010144152817162,dev,1,D
477,234.3656301353008,5.198431963058681,1.0173556476114527,dev,1,D
294,234.3901382501706,4.195798631339045,1.0163904278120128,dev,1,D
573,234.53129368279903,12.635405515690735,1.010071834703382,prod,1,C
477,234.53720757848325,4.127207564243264,1.0171178162025285,dev,1,D
107,234.60921982613107,5.533452828263421,1.010061715548403,prod,1,C
294,234.6505369531002,2.314244832515044,1.0173741244902317,dev,1,D
197,235.06868725932497,38.068687259324975,1.182870883048821,prod,3,A
106,235.12565418194785,75.94820410593144,12.480093476962423,prod,1,A
637,235.23758745838398,1.8078885260159723,1.0143464220697638,dev,1,D
637,235.26137357681264,3.2337346952315045,1.0160094042694539,dev,1,D
294,235.33097695674618,6.389945803573994,1.0100300193326461,dev,1,D
127,235.34197359966075,24.84379285958508,1.0836292360625066,prod,1,A
294,235.3860223456591,3.9176422410953933,1.0142215785225517,dev,1,D
294,235.39674603236537,2.0125577537248773,1.01594854590752,dev,1,D
389,235.4222460044744,1.5221084214469442,1.0180906104056078,prod,1,D
106,235.43439250333947,74.97336782429892,1.0955976399120004,prod,1,A
294,235.49465810039857,3.223658888232279,1.0173696720865166,dev,1,D
107,235.52666836174413,3.119628630883625,1.0118057832626732,prod,1,C
257,235.57365145447292,8.756609211830437,1.010028779668744,prod,1,C
637,235.73686394402327,2.676960054452991,1.0111565313230528,dev,1,D
294,235.75506674358732,9.652331624743397,1.0173533590231045,dev,1,D
637,235.7797583048189,3.2868188054778784,1.0111545029090223,dev,1,D
294,235.95813085169138,4.555070246098495,1.0183511678520745,dev,1,D
107,235.98469541168174,15.546196180707113,11.156575405869575,prod,1,C
294,236.06161759988288,7.430187799305742,1.0100379426102108,dev,1,D
389,236.08925508001474,7.879227965954271,1.0173801913022942,prod,1,D
637,236.20052875080106,4.152123025684233,1.002931592997811,dev,1,D
294,236.25839272836387,3.29105576829582,2.797769268043055,dev,1,D
637,236.28712262855657,4.28069295282549,1.0127368717868421,dev,1,D
257,236.31700778805404,10.80415201723227,1.0144009471948152,prod,1,C
195,236.36100136396408,41.36100136396408,1.1722859567640285,prod,2,A
573,236.3641748489753,7.674046058074225,1.0100678095735987,prod,1,C
637,236.4471702155411,4.381054339339954,1.0145559844993102,dev,1,D
294,236.4912727470567,4.15498062647157,1.0157256769807361,dev,1,D
637,236.52304161293247,2.2498901346068862,1.0173612530880973,dev,1,D
512,236.61955479328896,5.088943673496203,1.015254131448387,dev,0,D
294,236.68734019661485,11.538323385942789,1.0173698680011967,dev,1,D
573,237.09357751053946,11.998716194775483,1.0180430883584108,prod,1,C
573,237.16177762971972,8.32960998745321,1.0201008519238144,prod,1,C
294,237.26124056387565,5.792860459311953,1.012823813563955,dev,1,D
477,237.2659838613499,6.230753656369387,1.0131755201363148,dev,1,D
477,237.34401258603648,5.969833200694865,1.016691817513646,dev,1,D
477,237.36940312246378,5.99522373712216,1.0129755921619505,dev,1,D
637,237.46398395237748,1.26345520157642,1.0175038324675825,dev,1,D
257,237.67755133935435,13.038758119814815,1.020091181480126,prod,1,C
573,237.753470003215,4.757670289436362,1.0100298264864875,prod,1,C
294,237.75665069659257,5.068125827100204,1.0166962842515943,dev,1,D
294,237.99189857833903,4.9163507462357074,1.0149453503127006,dev,1,D
637,238.0273587654721,5.23270736041016,1.019735256909911,dev,1,D
389,238.19042519431224,2.768179189837838,1.0202025260136622,prod,1,D
573,238.21754366313772,6.068305178497553,1.0204851518018359,prod,1,C
294,238.36720204030374,12.328133612609065,1.0129826116397282,dev,1,D
637,238.3774206011608,5.258707183917863,1.0043084738495907,dev,1,D
637,238.3881441913597,2.6083858865407876,1.0207309508230082,dev,1,D
294,238.3979564696314,5.322408637528071,1.013536870033164,dev,1,D
294,238.40244439393558,10.563881838735767,1.0173703963500316,dev,1,D
297,238.43442664090722,23.252859922699827,1.1336997426352866,prod,1,A
637,238.53758431665295,4.000376738169706,1.0207141977984406,dev,1,D
257,238.70179033553265,16.649521239953117,9.01223509566671,prod,1,C
637,238.76589962794696,4.400269492646174,1.0130103436905529,dev,1,D
294,238.90270553217087,7.755624362498963,1.1339491059021327,dev,1,D
107,238.90862226109644,7.32358014915647,1.010037339373497,prod,1,C
637,238.93042369085722,5.171332604358128,1.0133426687239933,dev,1,D
637,238.98037143192505,2.533201216383958,1.0141216180662411,dev,1,D
637,239.3177972028471,6.434314982053877,1.0143452894497216,dev,1,D
257,239.37834398080125,20.75714003197905,3.4411163078321465,prod,1,C
294,239.48110841960866,6.148195580820072,1.014331436615862,dev,1,D
573,239.49000000563566,17.308414290986263,12.35977749351673,prod,1,C
389,239.53022734256422,7.784911692462856,1.020256572794466,prod,1,D
637,239.61670527923593,1.239284678075137,1.0147565948956014,dev,1,D
294,239.63123868239333,8.783742699316207,1.0160086351708344,dev,1,D
637,239.66286882396486,2.1988848715873814,1.0836314909013254,dev,1,D
389,239.73252127932307,11.235136434891615,1.0173838972316958,prod,1,D
637,239.81475496668162,5.683869811307829,1.0161839816624365,dev,1,D
637,239.86837291767614,4.630785459292156,1.0133174835954435,dev,1,D
297,240.0180300254922,56.56097645656038,1.1389028389692442,prod,1,A
294,240.03038018401907,9.836040565187517,1.0173690826870256,dev,1,D
294,240.13451291643196,5.990322101629886,1.0152079267026863,dev,1,D
573,240.1724147311997,7.176615017421057,5.23178392488461,prod,1,C
257,240.17785095911142,2.5002996197570724,1.014361256920239,prod,1,C
257,240.4600244642766,9.405552309640484,7.657384766363322,prod,1,C
637,240.49967732494213,3.233693463592232,1.0180497289006496,dev,1,D
573,240.51022929367315,11.820100502772078,1.0169252104929853,prod,1,C
637,240.59443545325672,4.071393840324248,1.0153151538585234,dev,1,D
294,240.617083161046,7.232894882405503,1.0152090846849262,dev,1,D
637,240.73199495089227,1.069126126927415,1.018415994509695,dev,1,D
106,240.8870102708906,66.28792513088314,40.015869537867104,prod,1,A
637,240.98799880792535,3.6439862218888663,1.014392447992151,dev,1,D
107,240.98883340594134,7.798560232522306,1.014352908113068,prod,1,C
294,241.02700592913044,12.567153571735759,1.0160099511072076,dev,1,D
573,241.0453644544479,3.8835868247281837,1.010031600950299,prod,1,C
294,241.08900460645103,2.186299074280157,1.0174172232962064,dev,1,D
637,241.11800790708253,5.381143963059259,1.010699644313604,dev,1,D
294,241.13186342300233,8.164526462934276,1.0160014493609992,dev,1,D
637,241.14133855340083,2.3754389254538637,1.0142367731363038,dev,1,D
294,241.22003142127704,3.2281328429380096,1.020431238792952,dev,1,D
294,241.4100033189073,11.129874978484509,1.0156968457179119,dev,1,D
389,241.45836086975592,8.734998644373206,1.0159186094400638,prod,1,D
294,241.6036756560404,3.2012312621048125,1.013578280179047,dev,1,D
